AGEP,OCCP,PINCP,HINCP,TEN,RAC1P,HISP,SEX,PWGTP,PUMA20,state
23,3050,2000,-60000,0,2,02,2,11,07509,06
85,N,2500,-60000,0,1,01,2,5,07512,06
85,N,2500,-60000,0,1,01,2,16,07508,06
18,4760,130,-60000,0,9,01,1,13,07512,06
28,2012,38000,-60000,0,2,01,2,3,07508,06
35,4020,21200,-60000,0,8,02,1,1,07513,06
44,2640,0,-60000,0,2,01,2,1,07508,06
19,4720,0,-60000,0,1,15,2,11,07514,06
22,7800,3800,-60000,0,5,02,1,2,07514,06
20,2350,540,-60000,0,1,01,2,9,07512,06
32,2006,15000,-60000,0,2,01,1,13,07510,06
48,8450,0,-60000,0,1,24,1,9,07510,06
30,2013,22000,-60000,0,2,01,1,6,07514,06
41,3603,8000,-60000,0,1,01,1,2,07513,06
18,2016,0,-60000,0,9,01,2,8,07512,06
51,N,11900,-60000,0,1,01,1,6,07510,06
56,N,0,-60000,0,1,01,1,5,07514,06
69,1108,60000,-60000,0,9,02,1,37,07509,06
22,N,0,-60000,0,9,03,1,7,07508,06
66,N,12000,-60000,0,1,01,2,19,07510,06
21,0725,10500,-60000,0,6,01,2,9,07509,06
30,3603,0,-60000,0,9,01,2,1,07507,06
72,N,7100,-60000,0,6,01,2,17,07507,06
19,N,0,-60000,0,6,01,2,6,07512,06
22,N,0,-60000,0,9,03,1,12,07508,06
21,2205,3200,-60000,0,6,01,2,11,07512,06
65,N,0,-60000,0,2,01,2,19,07511,06
22,4110,0,-60000,0,1,02,2,5,07508,06
36,1650,65000,-60000,0,6,01,2,5,07512,06
64,N,4300,-60000,0,8,02,1,10,07509,06
19,4010,0,-60000,0,1,01,1,13,07513,06
52,4720,3100,-60000,0,1,01,2,15,07514,06
47,N,11900,-60000,0,9,03,1,2,07512,06
52,N,7100,-60000,0,1,01,1,8,07509,06
34,N,0,-60000,0,1,01,2,2,07507,06
94,N,109000,-60000,0,1,01,2,7,07512,06
32,2006,15000,-60000,0,2,01,1,20,07510,06
64,9130,65000,-60000,0,2,01,1,18,07510,06
67,N,7100,-60000,0,1,01,1,9,07509,06
36,3500,192000,-60000,0,2,01,2,2,07513,06
34,N,0,-60000,0,1,01,2,14,07510,06
69,N,1400,-60000,0,5,01,2,26,07514,06
30,0420,140000,-60000,0,9,01,1,5,07512,06
66,N,12000,-60000,0,1,01,2,32,07509,06
94,N,78000,-60000,0,1,01,1,14,07510,06
37,N,0,-60000,0,2,01,1,15,07512,06
36,4010,3500,-60000,0,6,23,2,2,07509,06
90,N,18000,-60000,0,1,01,1,12,07514,06
64,N,2700,-60000,0,2,01,1,8,07509,06
44,2040,140000,-60000,0,2,01,1,4,07507,06
67,N,9400,-60000,0,8,02,2,15,07507,06
64,N,0,-60000,0,8,24,2,1,07507,06
20,6442,0,-60000,0,8,19,1,13,07509,06
60,6305,1000,-60000,0,1,01,1,20,07514,06
27,4252,15000,-60000,0,9,01,1,20,07514,06
52,N,18200,-60000,0,2,01,2,25,07514,06
77,N,12000,-60000,0,1,01,2,4,07512,06
23,N,0,-60000,0,6,01,1,1,07509,06
30,3603,0,-60000,0,9,01,2,11,07514,06
59,N,13200,-60000,0,1,01,2,17,07509,06
94,N,34600,-60000,0,1,01,2,9,07512,06
22,7800,3800,-60000,0,5,02,1,4,07510,06
30,6260,6800,-60000,0,1,01,1,14,07510,06
18,4110,1000,-60000,0,1,01,2,14,07508,06
27,3620,0,-60000,0,8,02,1,10,07508,06
18,N,0,-60000,0,6,01,2,12,07508,06
54,N,18200,-60000,0,8,24,2,4,07511,06
66,N,26700,-60000,0,2,01,1,10,07511,06
23,3050,2000,-60000,0,2,02,2,2,07512,06
89,N,0,-60000,0,1,01,2,14,07512,06
28,1970,60000,-60000,0,1,01,2,4,07510,06
80,N,22800,-60000,0,1,01,2,12,07514,06
77,N,12000,-60000,0,1,01,2,15,07510,06
75,N,13000,-60000,0,1,01,1,9,07514,06
24,3050,2500,-60000,0,6,01,2,11,07510,06
65,7140,28400,-60000,0,9,24,1,2,07507,06
64,N,0,-60000,0,8,24,2,16,07514,06
64,N,4300,-60000,0,8,02,1,34,07510,06
52,N,18200,-60000,0,2,01,2,37,07508,06
18,2350,880,-60000,0,6,01,2,8,07514,06
53,9620,6860,-60000,0,1,01,1,8,07508,06
59,3602,7200,-60000,0,1,01,2,18,07514,06
23,1970,35200,-60000,0,2,01,2,32,07510,06
69,N,1400,-60000,0,5,01,2,24,07511,06
60,6305,1000,-60000,0,1,01,1,3,07511,06
43,1305,128170,-60000,0,1,01,1,12,07510,06
94,N,3000,-60000,0,1,01,2,10,07512,06
41,2025,7600,-60000,0,3,02,1,3,07509,06
20,6442,0,-60000,0,8,19,1,54,07509,06
23,3050,2000,-60000,0,2,02,2,7,07512,06
22,7800,3800,-60000,0,5,02,1,12,07509,06
32,4020,6200,-60000,0,1,01,2,10,07510,06
